avg_rss12_min_1,avg_rss12_max_1,avg_rss12_mean_1,avg_rss12_median_1,avg_rss12_Q1_1,avg_rss12_Q3_1,avg_rss12_std_1,avg_rss12_min_2,avg_rss12_max_2,avg_rss12_mean_2,avg_rss12_median_2,avg_rss12_Q1_2,avg_rss12_Q3_2,avg_rss12_std_2,avg_rss12_min_3,avg_rss12_max_1,avg_rss12_mean_3,avg_rss12_median_3,avg_rss12_Q1_3,avg_rss12_Q3_3,avg_rss12_std_3,avg_rss12_min_4,avg_rss12_max_4,avg_rss12_mean_4,avg_rss12_median_4,avg_rss12_Q1_4,avg_rss12_Q3_4,avg_rss12_std_4,avg_rss12_min_5,avg_rss12_max_5,avg_rss12_mean_5,avg_rss12_median_5,avg_rss12_Q1_5,avg_rss12_Q3_5,avg_rss12_std_5,avg_rss12_min_6,avg_rss12_max_6,avg_rss12_mean_6,avg_rss12_median_6,avg_rss12_Q1_6,avg_rss12_Q3_6,avg_rss12_std_6
21.5,51,34.9358125,35.5,32,38.0625,4.641102438,0,12.21,4.11575,3.845,2.35,5.625,2.332808809,6.5,23.33,15.52452083,15.5,13.33,17.67,2.897225573,0,9.09,3.092791667,2.87,2.0575,3.84,1.501878864,6.33,25,15.99722917,16.25,14.2375,18.25,3.188731009,0,10.21,3.280020833,3.015,2.12,4.5,1.699144944
18,46,35.19333333,36,32,38.75,4.746915504,0,16.2,4.321020833,3.88,2.48,5.87,2.622779775,5.67,24.5,15.46222917,15.67,13.33,17.5,3.110976439,0,8.76,3.072854167,2.86,1.9125,4.09,1.507141327,6.25,23.5,16.10120833,16.33,14.25,18.5,3.204299163,0,8.5,3.241958333,3.015,1.885,4.44,1.767338606
20.75,46.25,34.76333333,35.29,31.67,38.25,4.737265708,0,12.68,4.223791667,3.9,2.49,5.7225,2.275630269,5,23.75,15.23902083,15.33,13.5,17.25,2.91778449,0,9.2,3.2070625,3,2.05,4.195,1.588814258,6,25.5,16.2995625,16.25,14.25,18.33,3.171372077,0,9.39,3.288270833,3.27,2.05,4.305,1.645810632
19.33,43.5,34.22777083,35.5,30.5,37.75,4.884480422,0,14.5,3.995729167,3.63,2.375,5.3425,2.268734938,5.5,23.5,15.71308333,15.75,14,17.67,2.836735373,0,8.86,3.3038125,3.2,2.05,4.44,1.665547034,6.75,26,16.62116667,16.67,14.75,18.67,3.088871135,0,9.74,3.394125,3.1,2.105,4.425,1.790222072
12.5,45,33.50972917,34.125,30.5,36.75,4.84586754,0,13.05,4.450770833,4.085,2.74,5.89,2.336247264,5.75,23.75,15.55777083,15.635,13.6275,17.5,2.909368959,0,9.1,3.350854167,3.11,2.1675,4.44,1.662643321,7.25,25,16.541375,16.75,14.6275,18.75,3.130298539,0,8.96,3.378479167,3.085,2.06,4.44,1.785497007
15,46.75,34.66058333,35,31,38.25,5.309570611,0,13.44,4.200895833,3.9,2.3425,5.6725,2.477621219,5,25.25,15.2231875,15.25,13.25,17.33,3.09778544,0,8.58,3.1113125,2.87,1.8,4.09,1.686984658,7,24.5,16.25104167,16.33,14.25,18.5,3.151726934,0,8.99,3.244395833,3,2.12,4.24,1.629283473
21.5,51.25,34.25352083,35,30.9375,37.75,4.935591857,0,13.55,4.457895833,4.15,2.7275,5.89,2.384704373,6.5,24,15.24629167,15.25,13.25,17.25,2.957815213,0,9.5,3.279145833,3.1,2.0375,4.4025,1.757545015,7,24.25,15.71608333,15.75,13.75,18,3.113378804,0,8.32,3.50075,3.285,2.18,4.5575,1.690613751
19.5,45.33,33.586875,34.25,30.25,37,4.64608821,0,14.67,4.5765625,4.26,2.87,6.105,2.458512181,7.33,23.25,15.31785417,15.33,13.25,17.27,2.967344243,0,9,3.227229167,3.1,2.05,4.26,1.645757181,6.33,25,15.89214583,16,13.73,18.25,3.280560829,0,8.32,3.259729167,3.11,2.05,4.3225,1.638533812
19.5,46,34.54622917,35.25,31.25,37.8125,4.837246823,0,12.47,4.371958333,4.135,2.49,5.8,2.357988355,7,22.67,15.18572917,15.25,13.25,17,2.754729548,0,8.34,3.0286875,2.86,1.79,4.11,1.663448898,7,22.75,15.75954167,15.75,14,17.75,2.820181768,0,10,3.338125,3.08,2.16,4.335,1.65501568
19.75,45.5,34.32275,35.25,31,38,4.747523953,0,13.47,4.456333333,3.9,2.49,5.97,2.596575127,6.25,22.25,15.20977083,15.25,13.5,17,2.708196923,0,9,3.277229167,3.11,2.17,4.39,1.498482715,6.25,23.25,15.55045833,15.75,13.5,17.75,3.116604689,0,9.67,3.4325625,3.2,2.1575,4.565,1.730921327
19.25,44,34.4731875,35,31.25,38,4.791706251,0,13.86,4.3593125,3.96,2.49,5.9,2.386256864,6,22.75,15.42470833,15.5,13.67,17.33,2.799145539,0,9.1,3.188270833,3.03,2.05,4.0375,1.60083407,4.67,23.25,15.70416667,16,13.73,17.75,3.153030377,0.43,9,3.340458333,3.09,2.12,4.375,1.697343328
23.5,46.25,34.87322917,35.25,31.75,38.25,4.526997095,0,14.82,4.380583333,3.925,2.5,5.9325,2.432899178,6.67,24.25,15.4711875,15.5,13.5,17.25,2.810145616,0,9.9,3.2056875,3.03,2.0575,4.19,1.517764374,5.5,23.5,15.87389583,16,13.75,18,3.127812672,0,9.51,3.424645833,3.27,2.17,4.5,1.689197504
18.33,45.75,34.599875,35.125,31.5,38,4.726858143,0,15.37,4.398833333,4.025,2.55,5.7675,2.535875238,5.5,24,15.17366667,15,13,17.3725,3.033581336,0,9.18,3.1455,3.015,2.0375,4.1575,1.589687784,6.5,23.25,16.0555625,16,14,18.25,2.90265943,0,8.86,3.289541667,3.015,2.12,4.26,1.678418464
15.5,43.67,34.225875,34.75,31.25,37.25,4.437168305,0,17.24,4.3545,3.9,2.49,5.765,2.516365302,7.67,23,15.60647917,15.5,13.75,17.5,2.809342728,0,9.2,3.365375,3.03,2.12,4.44,1.728988585,5.75,24,16.148,16.25,14.33,18.25,2.989800885,0,9.42,3.479541667,3.27,2.24,4.5375,1.759310767
